Area,Item,Year,hect,average_rain_fall_mm_per_year,avg_temp,hg/ha_yield
Albania,Maize,1985,140000,1485,15.91,35128
Albania,Potatoes,1985,230000,1485,15.91,56667
Albania,"Rice, paddy",1985,400000,1485,15.91,40000
Albania,Sorghum,1985,630000,1485,15.91,12963
Albania,Soybeans,1985,210000,1485,15.91,16000
Albania,Wheat,1985,140000,1485,15.91,31406
Albania,Maize,1986,140000,1485,16.07,45065
Albania,Potatoes,1986,230000,1485,16.07,78571
Albania,"Rice, paddy",1986,400000,1485,16.07,36667
Albania,Sorghum,1986,630000,1485,16.07,12950
Albania,Soybeans,1986,210000,1485,16.07,15000
Albania,Wheat,1986,140000,1485,16.07,28945
Albania,Maize,1987,140000,1485,15.93,38148
Albania,Potatoes,1987,230000,1485,15.93,63571
Albania,"Rice, paddy",1987,400000,1485,15.93,32121
Albania,Sorghum,1987,630000,1485,15.93,12800
Albania,Soybeans,1987,210000,1485,15.93,12000
Albania,Wheat,1987,140000,1485,15.93,31031
Albania,Maize,1989,140000,1485,15.7,47969
Albania,Potatoes,1989,230000,1485,15.7,107778
Albania,"Rice, paddy",1989,400000,1485,15.7,31296
Albania,Sorghum,1989,630000,1485,15.7,12806
Albania,Soybeans,1989,210000,1485,15.7,8571
Albania,Wheat,1989,140000,1485,15.7,29302
Albania,Maize,1990,140000,1485,16.37,36613
Albania,Potatoes,1990,230000,1485,16.37,66667
Albania,"Rice, paddy",1990,400000,1485,16.37,23333
Albania,Sorghum,1990,630000,1485,16.37,12500
Albania,Soybeans,1990,210000,1485,16.37,7000
Albania,Wheat,1990,140000,1485,16.37,30197
Albania,Maize,1991,140000,1485,15.36,29068
Albania,Potatoes,1991,230000,1485,15.36,77818
Albania,"Rice, paddy",1991,400000,1485,15.36,28538
Albania,Sorghum,1991,630000,1485,15.36,6667
Albania,Soybeans,1991,210000,1485,15.36,6066
Albania,Wheat,1991,140000,1485,15.36,20698
Albania,Maize,1992,140000,1485,16.06,24876
Albania,Potatoes,1992,230000,1485,16.06,82920
Albania,"Rice, paddy",1992,400000,1485,16.06,40000
Albania,Sorghum,1992,630000,1485,16.06,3747
Albania,Soybeans,1992,210000,1485,16.06,4507
Albania,Wheat,1992,140000,1485,16.06,24388
Albania,Maize,1993,140000,1485,16.05,24185
Albania,Potatoes,1993,230000,1485,16.05,98446
Albania,"Rice, paddy",1993,400000,1485,16.05,41786
Albania,Soybeans,1993,210000,1485,16.05,7998
Albania,Wheat,1993,140000,1485,16.05,29976
Albania,Maize,1994,140000,1485,16.96,25848
Albania,Potatoes,1994,230000,1485,16.96,81404
Albania,Soybeans,1994,210000,1485,16.96,7927
Albania,Wheat,1994,140000,1485,16.96,24745
Albania,Maize,1995,140000,1485,15.67,31300
Albania,Potatoes,1995,230000,1485,15.67,111323
Albania,Soybeans,1995,210000,1485,15.67,11791
Albania,Wheat,1995,140000,1485,15.67,28703
Albania,Maize,1996,140000,1485,15.64,32604
Albania,Potatoes,1996,230000,1485,15.64,106138
Albania,Soybeans,1996,210000,1485,15.64,15480
Albania,Wheat,1996,140000,1485,15.64,21741
